Designator,Mid X,Mid Y,Rotation,Layer
BZ1,6.5,36.5,270.0,top
J2,44.34,97.5,270.0,top
J3,60.08,108.5,270.0,top
J4,23.42,108.5,270.0,top
R1,3.5,53.0,90.0,top
SW1,24.5,44.05,0.0,top
SW10,44.5,-15.91,0.0,top
SW11,64.58,4.09,0.0,top
SW12,64.5,-15.91,0.0,top
SW2,44.58,44.09,0.0,top
SW3,64.46,44.09,0.0,top
SW4,24.5,24.09,0.0,top
SW5,44.5,24.01,0.0,top
SW6,64.5,24.09,0.0,top
SW7,24.5,4.09,0.0,top
SW8,24.5,-15.91,0.0,top
SW9,44.5,4.09,0.0,top
