Designator,Mid X,Mid Y,Rotation,Layer
J1,252.0,-95.0,270.0,bottom
SW1,171.75,-81.91,0.0,top
SW10,129.75,-102.91,0.0,top
SW11,192.75,-102.91,0.0,top
SW12,237.0,-102.91,0.0,top
SW2,192.75,-81.91,0.0,top
SW3,213.75,-81.91,0.0,top
SW4,213.75,-102.91,0.0,top
SW5,129.75,-81.91,0.0,top
SW6,150.75,-81.91,0.0,top
SW7,150.75,-102.91,0.0,top
SW8,237.0,-81.91,0.0,top
SW9,171.75,-102.91,0.0,top
